Stage1, Root, LT_ACTION, LS_RETRO, 0.0, 1.0
Stage1, Root, LT_ACTION, L_DESAL, 25.000000000000004, 1.0
Stage1, Root, LT_ACTION, L_GWR, 5.0, 1.0
Stage1, Root, LT_ACTION, L_REC, 100.00000000000001, 1.0
Stage1, Root, LT_ACTION, OPTION, 199999.99999999997, 1.0
Stage1, Root, LT_ACTION, S_DESAL, 0.0, 1.0
Stage1, Root, LT_ACTION, S_GWR, 10.0, 1.0
Stage1, Root, LT_ACTION, S_REC, 0.0, 1.0
Stage2, P1, MT_EXP, LS_RETRO, 0.0, 0.9998
Stage2, P1, MT_EXP, L_DESAL, 0.0, 0.9998
Stage2, P1, MT_EXP, L_GWR, 0.0, 0.9998
Stage2, P1, MT_EXP, L_REC, 0.0, 0.9998
Stage2, P1, MT_EXP, OPTION, 0.0, 0.9998
Stage2, P1, MT_EXP, S_DESAL, 0.0, 0.9998
Stage2, P1, MT_EXP, S_GWR, 0.0, 0.9998
Stage2, P1, MT_EXP, S_REC, 0.0, 0.9998
Stage2, P2, MT_EXP, LS_RETRO, 0.0, 0.0001
Stage2, P2, MT_EXP, L_DESAL, 0.0, 0.0001
Stage2, P2, MT_EXP, L_GWR, 0.0, 0.0001
Stage2, P2, MT_EXP, L_REC, 0.0, 0.0001
Stage2, P2, MT_EXP, OPTION, 0.0, 0.0001
Stage2, P2, MT_EXP, S_DESAL, 0.0, 0.0001
Stage2, P2, MT_EXP, S_GWR, 0.0, 0.0001
Stage2, P2, MT_EXP, S_REC, 0.0, 0.0001
Stage2, P3, MT_EXP, LS_RETRO, 0.0, 0.0001
Stage2, P3, MT_EXP, L_DESAL, 0.3, 0.0001
Stage2, P3, MT_EXP, L_GWR, 0.0, 0.0001
Stage2, P3, MT_EXP, L_REC, 0.3, 0.0001
Stage2, P3, MT_EXP, OPTION, 0.0, 0.0001
Stage2, P3, MT_EXP, S_DESAL, 0.0, 0.0001
Stage2, P3, MT_EXP, S_GWR, 0.0, 0.0001
Stage2, P3, MT_EXP, S_REC, 0.0, 0.0001
Stage3, NoShortage_P1, ST_Q, EX_LT_OPTION, 0.0, 0.84983
Stage3, NoShortage_P1, ST_Q, EX_MT_OPTION, 0.0, 0.84983
Stage3, NoShortage_P1, ST_Q, LS_RESTRICT, 0.0, 0.84983
Stage3, NoShortage_P1, ST_Q, SPOT, 0.0, 0.84983
Stage3, NoShortage_P2, ST_Q, EX_LT_OPTION, 0.0, 4.4000000000000006e-05
Stage3, NoShortage_P2, ST_Q, EX_MT_OPTION, 0.0, 4.4000000000000006e-05
Stage3, NoShortage_P2, ST_Q, LS_RESTRICT, 0.0, 4.4000000000000006e-05
Stage3, NoShortage_P2, ST_Q, SPOT, 0.0, 4.4000000000000006e-05
Stage3, NoShortage_P3, ST_Q, EX_LT_OPTION, 0.0, 1.0000000000000002e-06
Stage3, NoShortage_P3, ST_Q, EX_MT_OPTION, 0.0, 1.0000000000000002e-06
Stage3, NoShortage_P3, ST_Q, LS_RESTRICT, 0.0, 1.0000000000000002e-06
Stage3, NoShortage_P3, ST_Q, SPOT, 0.0, 1.0000000000000002e-06
Stage3, S1_P1, ST_Q, EX_LT_OPTION, 0.0, 0.059988
Stage3, S1_P1, ST_Q, EX_MT_OPTION, 0.0, 0.059988
Stage3, S1_P1, ST_Q, LS_RESTRICT, 0.0, 0.059988
Stage3, S1_P1, ST_Q, SPOT, 0.0, 0.059988
Stage3, S1_P2, ST_Q, EX_LT_OPTION, 0.0, 8.000000000000001e-06
Stage3, S1_P2, ST_Q, EX_MT_OPTION, 0.0, 8.000000000000001e-06
Stage3, S1_P2, ST_Q, LS_RESTRICT, 0.0, 8.000000000000001e-06
Stage3, S1_P2, ST_Q, SPOT, 0.0, 8.000000000000001e-06
Stage3, S1_P3, ST_Q, EX_LT_OPTION, 0.0, 3e-06
Stage3, S1_P3, ST_Q, EX_MT_OPTION, 0.0, 3e-06
