Stage1, Root, NoShortage_P1, CostExpressions, 1, 322595266.5743625, 1.0
Stage1, Root, S1_P1, CostExpressions, 1, 322595266.57435167, 1.0
Stage1, Root, S2_P1, CostExpressions, 1, 322595266.5743518, 1.0
Stage1, Root, NoShortage_P2, CostExpressions, 1, 322595266.57435155, 1.0
Stage1, Root, S1_P2, CostExpressions, 1, 322595266.5743519, 1.0
Stage1, Root, S2_P2, CostExpressions, 1, 322595266.5743519, 1.0
Stage1, Root, S3_P2, CostExpressions, 1, 322595266.5743518, 1.0
Stage1, Root, S4_P2, CostExpressions, 1, 322595266.5743525, 1.0
Stage1, Root, S5_P2, CostExpressions, 1, 322595266.5743525, 1.0
Stage1, Root, S6_P2, CostExpressions, 1, 322595266.57440275, 1.0
Stage1, Root, S7_P2, CostExpressions, 1, 322595266.57440376, 1.0
Stage1, Root, S8_P2, CostExpressions, 1, 322595266.57440317, 1.0
Stage1, Root, NoShortage_P3, CostExpressions, 1, 322595266.57435226, 1.0
Stage1, Root, S1_P3, CostExpressions, 1, 322595266.57435256, 1.0
Stage1, Root, S2_P3, CostExpressions, 1, 322595266.57435256, 1.0
Stage1, Root, S3_P3, CostExpressions, 1, 322595266.5743529, 1.0
Stage1, Root, S4_P3, CostExpressions, 1, 322595266.5743793, 1.0
Stage1, Root, S5_P3, CostExpressions, 1, 322595266.57435167, 1.0
Stage1, Root, S6_P3, CostExpressions, 1, 322595266.5743518, 1.0
Stage1, Root, S7_P3, CostExpressions, 1, 322595266.57440424, 1.0
Stage1, Root, S8_P3, CostExpressions, 1, 322595266.5744042, 1.0
Stage1, Root, S9_P3, CostExpressions, 1, 322595266.574352, 1.0
Stage1, Root, S10_P3, CostExpressions, 1, 322595266.57440335, 1.0
Stage1, Root, S11_P3, CostExpressions, 1, 322595266.5743542, 1.0
Stage2, P1, NoShortage_P1, CostExpressions, 2, 154063338.8429658, 0.1489579997998661
Stage2, P1, S1_P1, CostExpressions, 2, 154063338.8429658, 0.1489579997998661
Stage2, P1, S2_P1, CostExpressions, 2, 154063338.8429658, 0.1489579997998661
Stage2, P2, NoShortage_P2, CostExpressions, 2, 154063338.84295523, 0.393105000887649
Stage2, P2, S1_P2, CostExpressions, 2, 154063338.84295523, 0.393105000887649
Stage2, P2, S2_P2, CostExpressions, 2, 154063338.84295523, 0.393105000887649
Stage2, P2, S3_P2, CostExpressions, 2, 154063338.84295523, 0.393105000887649
Stage2, P2, S4_P2, CostExpressions, 2, 154063338.84295523, 0.393105000887649
Stage2, P2, S5_P2, CostExpressions, 2, 154063338.84295523, 0.393105000887649
Stage2, P2, S6_P2, CostExpressions, 2, 154063338.84295523, 0.393105000887649
Stage2, P2, S7_P2, CostExpressions, 2, 154063338.84295523, 0.393105000887649
Stage2, P2, S8_P2, CostExpressions, 2, 154063338.84295523, 0.393105000887649
Stage2, P3, NoShortage_P3, CostExpressions, 2, 239268130.98061508, 0.4579369993124848
Stage2, P3, S1_P3, CostExpressions, 2, 239268130.9806152, 0.4579369993124848
