Stage1, Root, LT_ACTION, LS_RETRO, 0.0, 1.0
Stage1, Root, LT_ACTION, L_DESAL, 47.0, 1.0
Stage1, Root, LT_ACTION, L_GWR, 4.999999999999999, 1.0
Stage1, Root, LT_ACTION, L_REC, 100.0, 1.0
Stage1, Root, LT_ACTION, OPTION, 200000.0, 1.0
Stage1, Root, LT_ACTION, S_DESAL, 0.0, 1.0
Stage1, Root, LT_ACTION, S_GWR, 19.999999999999996, 1.0
Stage1, Root, LT_ACTION, S_REC, 0.0, 1.0
Stage2, NoShortage_P3, ST_Q, EX_OPTION, 0.0, 0.01
Stage2, NoShortage_P3, ST_Q, LS_RESTRICT, 0.0, 0.01
Stage2, NoShortage_P3, ST_Q, SPOT, 0.0, 0.01
Stage2, S1_P3, ST_Q, EX_OPTION, 0.0, 0.03
Stage2, S1_P3, ST_Q, LS_RESTRICT, 0.0, 0.03
Stage2, S1_P3, ST_Q, SPOT, 0.0, 0.03
Stage2, S2_P3, ST_Q, EX_OPTION, 0.0, 0.09
Stage2, S2_P3, ST_Q, LS_RESTRICT, 0.0, 0.09
Stage2, S2_P3, ST_Q, SPOT, 0.0, 0.09
Stage2, S3_P3, ST_Q, EX_OPTION, 0.0, 0.19
Stage2, S3_P3, ST_Q, LS_RESTRICT, 0.0, 0.19
Stage2, S3_P3, ST_Q, SPOT, 0.0, 0.19
Stage2, S4_P3, ST_Q, EX_OPTION, 0.0, 0.3
Stage2, S4_P3, ST_Q, LS_RESTRICT, 0.0, 0.3
Stage2, S4_P3, ST_Q, SPOT, 0.0, 0.3
Stage2, S5_P3, ST_Q, EX_OPTION, 0.0, 0.22
Stage2, S5_P3, ST_Q, LS_RESTRICT, 0.0, 0.22
Stage2, S5_P3, ST_Q, SPOT, 0.0, 0.22
Stage2, S6_P3, ST_Q, EX_OPTION, 50000.0, 0.14
Stage2, S6_P3, ST_Q, LS_RESTRICT, 0.0, 0.14
Stage2, S6_P3, ST_Q, SPOT, 0.0, 0.14
Stage2, S7_P3, ST_Q, EX_OPTION, 200000.0, 0.02
Stage2, S7_P3, ST_Q, LS_RESTRICT, 180000.0, 0.02
Stage2, S7_P3, ST_Q, SPOT, 50000.0, 0.02
