Stage1, Root, LT_ACTION, LS_RETRO, 0.0, 1.0
Stage1, Root, LT_ACTION, L_DESAL, 0.0, 1.0
Stage1, Root, LT_ACTION, L_GWR, 5.0, 1.0
Stage1, Root, LT_ACTION, L_REC, 81.00000000000001, 1.0
Stage1, Root, LT_ACTION, OPTION, 200000.0, 1.0
Stage1, Root, LT_ACTION, S_DESAL, 0.0, 1.0
Stage1, Root, LT_ACTION, S_GWR, 20.0, 1.0
Stage1, Root, LT_ACTION, S_REC, 0.0, 1.0
Stage2, NoShortage_P2, ST_Q, EX_OPTION, 0.0, 0.44
Stage2, NoShortage_P2, ST_Q, LS_RESTRICT, 0.0, 0.44
Stage2, NoShortage_P2, ST_Q, SPOT, 0.0, 0.44
Stage2, S1_P2, ST_Q, EX_OPTION, 0.0, 0.08
Stage2, S1_P2, ST_Q, LS_RESTRICT, 0.0, 0.08
Stage2, S1_P2, ST_Q, SPOT, 0.0, 0.08
Stage2, S2_P2, ST_Q, EX_OPTION, 0.0, 0.24
Stage2, S2_P2, ST_Q, LS_RESTRICT, 0.0, 0.24
Stage2, S2_P2, ST_Q, SPOT, 0.0, 0.24
Stage2, S3_P2, ST_Q, EX_OPTION, 60000.0, 0.16
Stage2, S3_P2, ST_Q, LS_RESTRICT, 0.0, 0.16
Stage2, S3_P2, ST_Q, SPOT, 0.0, 0.16
Stage2, S4_P2, ST_Q, EX_OPTION, 200000.0, 0.08
Stage2, S4_P2, ST_Q, LS_RESTRICT, 180000.0, 0.08
Stage2, S4_P2, ST_Q, SPOT, 50000.0, 0.08
