Stage1, Root, LT_ACTION, LS_RETRO, 360.00000000000006
Stage1, Root, LT_ACTION, L_DESAL, 0.0
Stage1, Root, LT_ACTION, L_GWR, 5.0
Stage1, Root, LT_ACTION, L_REC, 39.0
Stage1, Root, LT_ACTION, OPTION, 437578.0
Stage1, Root, LT_ACTION, S_DESAL, 0.0
Stage1, Root, LT_ACTION, S_GWR, 20.0
Stage1, Root, LT_ACTION, S_REC, 10.0
Stage2, NoShortage, ST_Q, EX_OPTION, 0.0
Stage2, NoShortage, ST_Q, LS_RESTRICT, 0.0
Stage2, NoShortage, ST_Q, SPOT, 0.0
Stage2, S1, ST_Q, EX_OPTION, 0.0
Stage2, S1, ST_Q, LS_RESTRICT, 0.0
Stage2, S1, ST_Q, SPOT, 0.0
Stage2, S2, ST_Q, EX_OPTION, 0.0
Stage2, S2, ST_Q, LS_RESTRICT, 0.0
Stage2, S2, ST_Q, SPOT, 0.0
Stage2, S3, ST_Q, EX_OPTION, 117500.0
Stage2, S3, ST_Q, LS_RESTRICT, 0.0
Stage2, S3, ST_Q, SPOT, 0.0
Stage2, S4, ST_Q, EX_OPTION, 437577.99999999994
Stage2, S4, ST_Q, LS_RESTRICT, 0.0
Stage2, S4, ST_Q, SPOT, 49922.0
