FirstStage, RootNode, LT_ACTION, LSRETRO, 360.00000000000006
FirstStage, RootNode, LT_ACTION, L_DESAL, 0.0
FirstStage, RootNode, LT_ACTION, L_GWR, 5.0
FirstStage, RootNode, LT_ACTION, L_REC, 39.0
FirstStage, RootNode, LT_ACTION, OPTION, 437578.0
FirstStage, RootNode, LT_ACTION, S_DESAL, 0.0
FirstStage, RootNode, LT_ACTION, S_GWR, 20.0
FirstStage, RootNode, LT_ACTION, S_REC, 10.0
SecondStage, NoShortageNode, ST_Q, EX_OPTION, 0.0
SecondStage, NoShortageNode, ST_Q, RESTRICT, 0.0
SecondStage, NoShortageNode, ST_Q, SPOT, 0.0
SecondStage, S1Node, ST_Q, EX_OPTION, 0.0
SecondStage, S1Node, ST_Q, RESTRICT, 0.0
SecondStage, S1Node, ST_Q, SPOT, 0.0
SecondStage, S2Node, ST_Q, EX_OPTION, 0.0
SecondStage, S2Node, ST_Q, RESTRICT, 0.0
SecondStage, S2Node, ST_Q, SPOT, 0.0
SecondStage, S3Node, ST_Q, EX_OPTION, 117500.0
SecondStage, S3Node, ST_Q, RESTRICT, 0.0
SecondStage, S3Node, ST_Q, SPOT, 0.0
SecondStage, S4Node, ST_Q, EX_OPTION, 437577.99999999994
SecondStage, S4Node, ST_Q, RESTRICT, 0.0
SecondStage, S4Node, ST_Q, SPOT, 49922.0
